book_id,isbn,isbn13,authors,original_publication_year,original_title,title,average_rating
98,307269981,9780307269980,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,"The Girl Who Played with Fire (Millennium, #2)",4.22
99,1612130585,9781612130580,E.L. James,2011,Fifty Shades Darker,"Fifty Shades Darker (Fifty Shades, #2)",3.87
100,60786507,9780060786500,Barbara Kingsolver,1998,The Poisonwood Bible,The Poisonwood Bible,4.02
101,349113912,9780349113910,David Sedaris,2000,Me Talk Pretty One Day,Me Talk Pretty One Day,3.97
102,99408392,9780099408390,Maurice Sendak,1963,Where the Wild Things Are,Where the Wild Things Are,4.22
103,140449264,9780140449270,"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,The Count of Monte Cristo,4.21
104,307265439,9780307265430,Cormac McCarthy,2006,The Road,The Road,3.95
105,7524277,9780007524270,Veronica Roth,2013,Allegiant,"Allegiant (Divergent, #3)",3.63
107,446693804,9780446693810,Nicholas Sparks,1999,A Walk to Remember,A Walk to Remember,4.15
108,440241413,9780440241420,Sophie Kinsella,2000,Confessions of a Shopaholic,"Confessions of a Shopaholic (Shopaholic, #1)",3.61
109,451525264,9780451525260,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,Les Misérables,4.14
110,553381695,9780553381700,George R.R. Martin,1998,A Clash of Kings,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4
111,143037145,9780143037150,Kim Edwards,2005,The Memory Keeper's Daughter,The Memory Keeper's Daughter,3.64
112,670026603,9780670026610,Jojo Moyes,2012,Me Before You,"Me Before You (Me Before You, #1)",4.27
113,684833395,9780684833390,Joseph Heller,1961,Catch-22,Catch-22,3.98
114,751529818,9780751529810,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,Tuesdays with Morrie,4.06
115,312422156,9780312422160,Jeffrey Eugenides,2002,Middlesex,Middlesex,3.98
116,143039563,9780143039560,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,3.89
117,440498058,9780440498060,Madeleine L'Engle,1962,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04
118,143038095,9780143038090,Amy Tan,1989,The Joy Luck Club,The Joy Luck Club,3.9
119,038549081X,9780385490820,Margaret Atwood,1985,The Handmaid's Tale,The Handmaid's Tale,4.06
120,385729332,9780385729340,Ann Brashares,2001,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75
122,60987103,9780060987110,"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of the West,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52
123,582418275,9780582418270,John Grisham,1991,The Firm,"The Firm (Penguin Readers, Level 5)",3.99
124,316098337,9780316098340,Emma Donoghue,2010,Room,Room,4.03
125,521618746,9780521618750,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,4.0
126,340839937,9780340839940,Frank Herbert,1965,Dune,Dune (Dune Chronicles #1),4.19
127,316346624,9780316346630,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,3.92
128,1451648537,9781451648540,Walter Isaacson,2011,Steve Jobs,Steve Jobs,4.09
129,451163966,9780451163970,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,4.18
130,684830493,9780684830490,Ernest Hemingway,1952,The Old Man and the Sea,The Old Man and the Sea,3.73
131,142000663,9780142000660,John Steinbeck,1939,The Grapes of Wrath,The Grapes of Wrath,3.92
132,1401308589,9781401308580,Mitch Albom,2003,The Five People You Meet in Heaven,The Five People You Meet in Heaven,3.9
133,451528824,9780451528830,L.M. Montgomery,1908,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)",4.23
134,1416914307,9781416914300,Cassandra Clare,2009,City of Glass,"City of Glass (The Mortal Instruments, #3)",4.34
135,055357342X,9780553573430,George R.R. Martin,2000,A Storm of Swords,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54
136,006075995X,9780060759960,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,3.79
137,440242940,9780440242950,Diana Gabaldon,1991,Outlander,"Outlander (Outlander, #1)",4.2
138,142437263,9780142437260,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,The Scarlet Letter,3.37
139,1594744769,9781594744760,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89
140,030726999X,9780307270000,"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2
141,804139024,9780804139020,Andy Weir,2012,The Martian,The Martian,4.39
142,451207149,9780451207140,Ken Follett,1989,The Pillars of the Earth,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29
144,1400064163,9781400064170,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4
145,671027387,9780671027380,Dan Brown,2001,Deception Point,Deception Point,3.67
146,316055433,9780316055440,Donna Tartt,2013,The Goldfinch,The Goldfinch,3.87
147,1595141715,9781595141710,Jay Asher,2007,Thirteen Reasons Why,Thirteen Reasons Why,4.02
148,452287022,9780452287020,Tracy Chevalier,1999,Girl with a Pearl Earring,Girl with a Pearl Earring,3.85
149,525421033,9780525421030,Gayle Forman,2009,If I Stay,"If I Stay (If I Stay, #1)",3.96
150,312353766,9780312353770,Anita Diamant,1997,The Red Tent,The Red Tent,4.16
151,786856866,9780786856860,Rick Riordan,2006,The Sea of Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23
152,446528056,9780446528050,Nicholas Sparks,2006,Dear John,Dear John,4.01
153,1416914293,9781416914300,Cassandra Clare,2008,City of Ashes,"City of Ashes (The Mortal Instruments, #2)",4.21
154,743477103,9780743477110,William Shakespeare,1606,The Tragedy of Macbeth,Macbeth,3.88
155,618346260,9780618346260,J.R.R. Tolkien,1954,The Two Towers,"The Two Towers (The Lord of the Rings, #2)",4.42
156,031232118X,9780312321180,Emily Giffin,2004,Something Borrowed,"Something Borrowed (Darcy & Rachel, #1)",3.83
157,394800168,9780394800160,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,Green Eggs and Ham,4.29
158,142403881,9780142403880,"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.1
159,1423101464,9781423101470,Rick Riordan,2008,The Battle of the Labyrinth,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39
160,192833596,9780192833590,Charles Dickens,1860,Great Expectations,Great Expectations,3.75
161,345339738,9780345339740,J.R.R. Tolkien,1955,The Return of the King,"The Return of the King (The Lord of the Rings, #3)",4.51
163,142311339X,9781423113390,Rick Riordan,2010,The Lost Hero,"The Lost Hero (The Heroes of Olympus, #1)",4.35
164,1250012570,9781250012580,Rainbow Rowell,2013,Eleanor & Park,Eleanor & Park,4.11
165,055358202X,9780553582020,George R.R. Martin,2005,A Feast for Crows,"A Feast for Crows (A Song of Ice and Fire, #4)",4.1
166,525423648,9780525423640,Ally Condie,2010,Matched,"Matched (Matched, #1)",3.68
167,747263744,9780747263750,Neil Gaiman,2001,American Gods,"American Gods (American Gods, #1)",4.11
168,385199570,9780385199580,"Stephen King, Bernie Wrightson",1978,The Stand,The Stand,4.34
169,446547565,9780446547570,Nicholas Sparks,2008,The Last Song,The Last Song,4.14
170,552151696,9780552151700,Dan Brown,1998,Digital Fortress,Digital Fortress,3.6
171,141439580,9780141439590,"Jane Austen, Fiona Stafford",1815,Emma,Emma,3.99
172,345803922,9780345803920,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Анна Каренина,Anna Karenina,4.02
173,393312836,9780393312840,Anthony Burgess,1962,A Clockwork Orange,A Clockwork Orange,3.98
174,964729237,9780964729230,William Paul Young,2007,The Shack: Where Tragedy Confronts Eternity,The Shack,3.74
175,739380338,9780739380340,Rick Riordan,2009,The Last Olympian,"The Last Olympian (Percy Jackson and the Olympians, #5)",4.5
176,451169514,9780451169520,Stephen King,1986,It,It,4.18
177,143058142,9780143058140,"Fyodor Dostoyevsky, David McDuff",1866,Преступление и наказание,Crime and Punishment,4.18
178,61148512,9780061148510,Sylvia Plath,1963,The Bell Jar,The Bell Jar,3.98
179,7205236,9780007205230,Frank McCourt,1996,Angela's Ashes: A Memoir,"Angela's Ashes (Frank McCourt, #1)",4.07
180,553208845,9780553208850,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,Siddhartha,3.99
181,679745580,9780679745590,Truman Capote,1965,In Cold Blood,In Cold Blood,4.05
182,316042676,9780316042670,"Kami Garcia, Margaret Stohl",2009,Beautiful Creatures,"Beautiful Creatures (Caster Chronicles, #1)",3.76
183,1416975861,9781416975860,Cassandra Clare,2010,Clockwork Angel,"Clockwork Angel (The Infernal Devices, #1)",4.33
184,141301066,9780141301070,"Roald Dahl, Quentin Blake",1988,Matilda,Matilda,4.29
185,385534639,9780385534640,Erin Morgenstern,2011,The Night Circus,The Night Circus,4.03
186,743227441,9780743227440,Philippa Gregory,2001,The Other Boleyn Girl,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",4.04
187,689865384,9780689865380,Scott Westerfeld,2005,Uglies,"Uglies (Uglies, #1)",3.86
189,618640150,9780618640160,J.R.R. Tolkien,1955,The Lord of the Rings,"The Lord of the Rings (The Lord of the Rings, #1-3)",4.47
190,307592731,9780307592740,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail ,Wild: From Lost to Found on the Pacific Crest Trail,3.96
191,930289234,9780930289230,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,Watchmen,4.35
192,075640407X,9780756404080,Patrick Rothfuss,2007,The Name of the Wind,"The Name of the Wind (The Kingkiller Chronicle, #1)",4.55
193,316017922,9780316017920,Malcolm Gladwell,2008,Outliers: The Story of Success,Outliers: The Story of Success,4.11
194,142437247,9780142437250,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby Dick; or, The Whale","Moby-Dick or, The Whale",3.46
195,385340990,9780385340990,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,4.12
196,393327345,9780393327340,Chuck Palahniuk,1996,Fight Club,Fight Club,4.2
197,441008534,9780441008540,Charlaine Harris,2001,Dead Until Dark,"Dead Until Dark (Sookie Stackhouse, #1)",3.96
198,671727796,9780671727800,Alice Walker,1982,The Color Purple,The Color Purple,4.17
199,739461192,9780739461200,John Grogan,2005,Marley & Me: Life and Love with the World's Worst Dog,Marley and Me: Life and Love With the World's Worst Dog,4.12
200,312330871,9780312330870,Agatha Christie,1939,Ten Little Niggers,And Then There Were None,4.23
201,385504225,9780385504220,Dan Brown,2009,The Lost Symbol,"The Lost Symbol (Robert Langdon, #3)",3.66
202,1416989412,9781416989420,Becca Fitzpatrick,2009,"Hush, Hush","Hush, Hush (Hush, Hush, #1)",4.0
204,1561797464,9781561797460,Charles Dickens,1843,A Christmas Carol,A Christmas Carol,4.02
205,345476875,9780345476880,Anne Rice,1976,Interview with the Vampire,"Interview with the Vampire (The Vampire Chronicles, #1)",3.97
206,62059939,9780062059930,Kiera Cass,2012,The Selection,"The Selection (The Selection, #1)",4.15
207,312362080,9780312362090,Janet Evanovich,1994,One for the Money,"One for the Money (Stephanie Plum, #1)",4.03
208,1400052173,9781400052170,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,The Immortal Life of Henrietta Lacks,4.04
209,99446782,9780099446780,Thomas Harris,1988,The Silence of the Lambs,"The Silence of the Lambs  (Hannibal Lecter, #2)",4.14
211,316010669,9780316010660,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,Blink: The Power of Thinking Without Thinking,3.89
212,038572179X,9780385721790,Ian McEwan,2001,Atonement,Atonement,3.88
213,553213695,9780553213690,"Franz Kafka, Stanley Corngold",1915,Die Verwandlung,The Metamorphosis,3.78
214,141382899,9780141382890,Rick Riordan,2007,The Titan's Curse,"The Titan's Curse (Percy Jackson and the Olympians, #3)",4.33
216,1554681723,9781554681720,Garth Stein,2006,The Art of Racing in the Rain,The Art of Racing in the Rain,4.19
217,739303406,9780739303400,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America","The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",3.98
218,425263908,9780425263910,Sylvia Day,2012,Bared to You,"Bared to You (Crossfire, #1)",4.19
219,66238501,9780066238500,"C.S. Lewis, Pauline Baynes",1956,The Chronicles of Narnia,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",4.24
221,1558743669,9781558743660,Dave Pelzer,1995,"A Child Called ""It"": One Child's Courage to Survive","A Child Called ""It"" (Dave Pelzer #1)",4.08
222,752864327,9780752864330,Robert Ludlum,1980,The Bourne Identity,"The Bourne Identity (Jason Bourne, #1)",3.98
223,786817879,9780786817870,Eoin Colfer,2001,Artemis Fowl,"Artemis Fowl (Artemis Fowl, #1)",3.82
224,385738935,9780385738930,Lauren Kate,2009,Fallen,"Fallen (Fallen, #1)",3.74
225,142000655,9780142000660,John Steinbeck,1952,East of Eden  ,East of Eden,4.35
226,307341569,9780307341560,Gillian Flynn,2009,Dark Places,Dark Places,3.92
227,385339089,9780385339090,John Grisham,1993,The Client,The Client,3.97
228,312291639,9780312291630,"Emma McLaughlin, Nicola Kraus",2002,The Nanny Diaries,"The Nanny Diaries (Nanny, #1)",3.4
229,451527747,9780451527740,"Lewis Carroll, John Tenniel, Martin Gardner",1865,Alice's Adventures in Wonderland,Alice's Adventures in Wonderland & Through the Looking-Glass,4.06
230,192802631,9780192802640,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion,Persuasion,4.13
231,312370830,9780312370830,Tatiana de Rosnay,2007,Elle s'appelait Sarah,Sarah's Key,4.14
232,452284694,9780452284690,Stephen King,1982,The Gunslinger,"The Gunslinger (The Dark Tower, #1)",3.99
233,140003468X,9781400034680,"Gabriel García Márquez, Edith Grossman",1985,El amor en los tiempos del cólera,Love in the Time of Cholera,3.89
234,014131088X,9780141310890,Laurie Halse Anderson,1999,Speak,Speak,4.0
235,399159347,9780399159340,Liane Moriarty,2013,The Husband's Secret ,The Husband's Secret,3.92
236,385494785,9780385494790,Jon Krakauer,1997,Into Thin Air: A Personal Account of the Mt. Everest Disaster,Into Thin Air: A Personal Account of the Mount Everest Disaster,4.11
237,1416524304,9781416524300,Stephen King,1974,Carrie,Carrie,3.93
238,031242227X,9780312422270,Augusten Burroughs,2002,Running with Scissors,Running with Scissors,3.7
239,307346609,9780307346600,Max Brooks,2006,World War Z: An Oral History of the Zombie War,World War Z: An Oral History of the Zombie War,4.01
240,385537859,9780385537860,Dan Brown,2013,Inferno,"Inferno (Robert Langdon, #4)",3.8
241,440227534,9780440227530,Lois Lowry,1989,Number the Stars,Number the Stars,4.11
242,446692638,9780446692630,James Patterson,1993,Along Came a Spider,"Along Came a Spider (Alex Cross, #1)",4.08
243,450417395,9780450417400,Stephen King,1987,Misery,Misery,4.11
244,307341542,9780307341550,Gillian Flynn,2006,Sharp Objects,Sharp Objects,3.92
245,439366771,9780439366780,Katherine Paterson,1977,Bridge to Terabithia,Bridge to Terabithia,3.98
246,312360266,9780312360270,"P.C. Cast, Kristin Cast",2007,Marked,"Marked (House of Night, #1)",3.79
247,743269519,9780743269510,Stephen R. Covey,1989,The 7 Habits of Highly Effective People,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.05
248,743477545,9780743477540,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,A Midsummer Night's Dream,A Midsummer Night's Dream,3.94
249,618711651,9780618711660,Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close,Extremely Loud and Incredibly Close,3.97
250,375869026,9780375869020,R.J. Palacio,2012,Wonder,Wonder,4.43
251,039480001X,9780394800010,Dr. Seuss,1957,The Cat in the Hat,The Cat in the Hat,4.15
